-0.0	0.01 	0.10 	0.20 	0.33 	0.50 	1.0 	2.0 	5.0 	10.0 	20.0 	50.0 	75.0 	90.0 	95.0 	99.0
0.0 	3.72 	3.09 	2.88 	2.71 	2.58 	2.33 	2.05 	1.64 	1.28 	0.84 	0.00 	-0.67 	-1.28 	-1.64 	-2.33
0.1 	3.94 	3.23 	3.00 	2.82 	2.67 	2.40 	2.11 	1.67 	1.29 	0.84 	-0.02 	-0.68 	-1.27 	-1.62 	-2.25
0.2 	4.16 	3.38 	3.12 	2.92 	2.76 	2.47 	2.16 	1.70 	1.30 	0.83 	-0.03 	-0.69 	-1.26 	-1.59 	-2.18
0.3 	4.38 	3.52 	3.24 	3.03 	2.86 	2.54 	2.21 	1.73 	1.31 	0.82 	-0.05 	-0.70 	-1.24 	-1.55 	-2.10
0.4 	4.61 	3.67 	3.36 	3.14 	2.95 	2.62 	2.26 	1.75 	1.32 	0.82 	-0.07 	-0.71 	-1.23 	-1.52 	-2.03
0.5 	4.83 	3.81 	3.48 	3.25 	3.04 	2.68 	2.31 	1.77 	1.32 	0.81 	-0.08 	-0.71 	-1.22 	-1.49 	-1.96
0.6 	5.05 	3.96 	3.60 	3.35 	3.13 	2.75 	2.35 	1.80 	1.33 	0.80 	-0.10 	-0.72 	-1.20 	-1.45 	-1.88
0.7 	5.28 	4.10 	3.72 	3.45 	3.22 	2.82 	2.40 	1.82 	1.33 	0.79 	-0.12 	-0.72 	-1.18 	-1.42 	-1.81
0.8 	5.50 	4.24 	3.85 	3.55 	3.31 	2.89 	2.45 	1.84 	1.34 	0.78 	-0.13 	-0.73 	-1.17 	-1.38 	-1.74
0.9 	5.73 	4.39 	3.97 	3.65 	3.40 	2.96 	2.50 	1.86 	1.34 	0.77 	-0.15 	-0.73 	-1.15 	-1.35 	-1.66
1.0 	5.96 	4.53 	4.09 	3.76 	3.49 	3.02 	2.54 	1.88 	1.34 	0.76 	-0.16 	-0.73 	-1.13 	-1.32 	-1.59
1.1 	6.18 	4.67 	4.20 	3.86 	3.58 	3.09 	2.58 	1.89 	1.34 	0.74 	-0.18 	-0.74 	-1.10 	-1.28 	-1.52
1.2 	6.41 	4.81 	4.32 	3.95 	3.66 	3.15 	2.62 	1.91 	1.34 	0.73 	-0.19 	-0.74 	-1.08 	-1.24 	-1.45
1.3 	6.64 	4.95 	4.44 	4.05 	3.74 	3.21 	2.67 	1.92 	1.34 	0.72 	-0.21 	-0.74 	-1.06 	-1.20 	-1.38
1.4 	6.87 	5.09 	4.56 	4.15 	3.83 	3.27 	2.71 	1.94 	1.33 	0.71 	-0.22 	-0.73 	-1.04 	-1.17 	-1.32
1.5 	7.09 	5.23 	4.68 	4.24 	3.91 	3.33 	2.74 	1.95 	1.33 	0.69 	-0.24 	-0.73 	-1.02 	-1.13 	-1.26
1.6 	7.31 	5.37 	4.80 	4.34 	3.99 	3.39 	2.78 	1.96 	1.33 	0.68 	-0.25 	-0.73 	-0.99 	-1.10 	-1.20
1.7 	7.54 	5.50 	4.91 	4.43 	4.07 	3.44 	2.82 	1.97 	1.32 	0.66 	-0.27 	-0.72 	-0.97 	-1.06 	-1.14
1.8 	7.76 	5.64 	5.01 	4.52 	4.15 	3.50 	28.50 	1.98 	1.32 	0.64 	-0.28 	-0.72 	-0.94 	-1.02 	-1.09
1.9 	7.98 	5.77 	5.12 	4.61 	4.23 	3.55 	2.88 	1.99 	1.31 	0.63 	-0.29 	-0.72 	-0.92 	-0.98 	-1.04
2.0 	8.21 	5.91 	5.22 	4.70 	4.30 	3.61 	2.91 	2.00 	1.30 	0.61 	-0.310 	-0.710 	-0.895 	-0.949 	-0.989
2.1 	8.43 	6.04 	5.33 	4.79 	4.37 	3.66 	2.93 	2.00 	1.29 	0.59 	-0.320 	-0.710 	-0.869 	-0.914 	-0.945
2.2 	8.65 	6.17 	5.43 	4.88 	4.44 	3.71 	2.96 	2.00 	1.28 	0.57 	-0.330 	-0.700 	-0.844 	-0.879 	-0.905
2.3 	8.87 	6.30 	5.53 	4.97 	4.51 	3.76 	2.99 	2.00 	1.27 	0.55 	-0.340 	-0.690 	-0.820 	-0.849 	-0.867
2.4 	9.08 	6.42 	5.63 	5.05 	4.58 	3.81 	3.02 	2.01 	1.26 	0.54 	-0.350 	-0.680 	-0.795 	-0.820 	-0.831
2.5 	9.30 	6.55 	5.73 	5.13 	4.65 	3.85 	3.04 	2.01 	1.25 	0.52 	-0.360 	-0.670 	-0.772 	-0.791 	-0.800
2.6 	9.51 	6.67 	5.82 	5.20 	4.72 	3.89 	3.06 	2.01 	1.23 	0.50 	-0.370 	-0.660 	-0.748 	-0.764 	-0.769
2.7 	9.72 	6.79 	5.92 	5.28 	4.78 	3.93 	3.09 	2.01 	1.22 	0.48 	-0.370 	-0.650 	-0.726 	-0.736 	-0.740
2.8 	9.93 	6.91 	6.01 	5.36 	4.84 	3.97 	3.11 	2.01 	1.21 	0.46 	-0.380 	-0.640 	-0.702 	-0.710 	-0.714
2.9 	10.14 	7.03 	6.10 	5.44 	4.90 	4.01 	3.13 	2.01 	1.20 	0.44 	-0.390 	-0.630 	-0.680 	-0.687 	-0.690
